"Banco de México"

"Tipos de cambio y resultados históricos de las subastas"
"Serie histórica diaria del tipo de cambio peso-dólar"

"Fecha de consulta: 03/09/2017 06:50:24"

""

"Título","Serie histórica del tipo de cambio, Tipo de cambio peso dólar desde 1954"
"Periodo disponible","19/04/1954 - 01/09/2017"
"Periodicidad","Diaria"
"Cifra","Tipo de Cambio"
"Unidad","Pesos por Dólar"
"Base",""
"Aviso",""
"Tipo de información","Niveles"
"Fecha","SF63528"
08/09/2016,18.54270
09/09/2016,18.84510
12/09/2016,19.06460
13/09/2016,19.15200
14/09/2016,19.22750
15/09/2016,19.25140
19/09/2016,19.60970
20/09/2016,19.77700
21/09/2016,19.83940
22/09/2016,19.59650
23/09/2016,19.72110
26/09/2016,19.83220
27/09/2016,19.50440
28/09/2016,19.50020
29/09/2016,19.40860
30/09/2016,19.37760
03/10/2016,19.32110
04/10/2016,19.21380
05/10/2016,19.25540
06/10/2016,19.24330
07/10/2016,19.29940
10/10/2016,18.87860
11/10/2016,18.95310
12/10/2016,18.96220
13/10/2016,19.03990
14/10/2016,19.00460
17/10/2016,18.87230
18/10/2016,18.67260
19/10/2016,18.58940
20/10/2016,18.59450
21/10/2016,18.64810
24/10/2016,18.56580
25/10/2016,18.51470
26/10/2016,18.64850
27/10/2016,18.84430
28/10/2016,18.73040
31/10/2016,18.88870
01/11/2016,19.13060
03/11/2016,19.20140
04/11/2016,19.07920
07/11/2016,18.61920
08/11/2016,18.50890
09/11/2016,19.92500
10/11/2016,20.48120
11/11/2016,21.05110
14/11/2016,20.87290
15/11/2016,20.34900
16/11/2016,20.28840
17/11/2016,20.18980
18/11/2016,20.41930
22/11/2016,20.52050
23/11/2016,20.69010
24/11/2016,20.70510
25/11/2016,20.64750
28/11/2016,20.55210
29/11/2016,20.62250
30/11/2016,20.51550
01/12/2016,20.74880
02/12/2016,20.61490
05/12/2016,20.59270
06/12/2016,20.38630
07/12/2016,20.29670
08/12/2016,20.41620
09/12/2016,20.33050
13/12/2016,20.25670
14/12/2016,20.22260
15/12/2016,20.59730
16/12/2016,20.42800
19/12/2016,20.40980
20/12/2016,20.43000
21/12/2016,20.49210
22/12/2016,20.71790
23/12/2016,20.62710
26/12/2016,20.64450
27/12/2016,20.70520
28/12/2016,20.73140
29/12/2016,20.66400
30/12/2016,20.61940
02/01/2017,20.73230
03/01/2017,20.85200
04/01/2017,21.37990
05/01/2017,21.36610
06/01/2017,21.31440
09/01/2017,21.32190
10/01/2017,21.61680
11/01/2017,21.90760
12/01/2017,21.72040
13/01/2017,21.63300
16/01/2017,21.66430
17/01/2017,21.57380
18/01/2017,21.85140
19/01/2017,21.90440
20/01/2017,21.70020
23/01/2017,21.45120
24/01/2017,21.36920
25/01/2017,21.34390
26/01/2017,21.20240
27/01/2017,21.02120
30/01/2017,20.75880
31/01/2017,20.79080
01/02/2017,20.77520
02/02/2017,20.57570
03/02/2017,20.34390
07/02/2017,20.63700
08/02/2017,20.49940
09/02/2017,20.41630
10/02/2017,20.35350
13/02/2017,20.32800
14/02/2017,20.35070
15/02/2017,20.32540
16/02/2017,20.33250
17/02/2017,20.45260
20/02/2017,20.40590
21/02/2017,20.44890
22/02/2017,19.91270
23/02/2017,19.70110
24/02/2017,19.83350
27/02/2017,19.83220
28/02/2017,19.99570
01/03/2017,19.90070
02/03/2017,19.93730
03/03/2017,19.61470
06/03/2017,19.55380
07/03/2017,19.52100
08/03/2017,19.60070
09/03/2017,19.79740
10/03/2017,19.62790
13/03/2017,19.58030
14/03/2017,19.65430
15/03/2017,19.44930
16/03/2017,19.17300
17/03/2017,19.11700
21/03/2017,19.10700
22/03/2017,19.08370
23/03/2017,18.98770
24/03/2017,18.85280
27/03/2017,18.86610
28/03/2017,18.88530
29/03/2017,18.80920
30/03/2017,18.70790
31/03/2017,18.79550
03/04/2017,18.73200
04/04/2017,18.83340
05/04/2017,18.71920
06/04/2017,18.76960
07/04/2017,18.65600
10/04/2017,18.69230
11/04/2017,18.76460
12/04/2017,18.75280
17/04/2017,18.55820
18/04/2017,18.48630
19/04/2017,18.83740
20/04/2017,18.81870
21/04/2017,18.84130
24/04/2017,18.65210
25/04/2017,18.92250
26/04/2017,19.11190
27/04/2017,19.06700
28/04/2017,18.95940
02/05/2017,18.77310
03/05/2017,18.80310
04/05/2017,19.00190
05/05/2017,19.01370
08/05/2017,19.11640
09/05/2017,19.13640
10/05/2017,18.95870
11/05/2017,18.90390
12/05/2017,18.75940
15/05/2017,18.67000
16/05/2017,18.61830
17/05/2017,18.67610
18/05/2017,18.88980
19/05/2017,18.68590
22/05/2017,18.66330
23/05/2017,18.61500
24/05/2017,18.56890
25/05/2017,18.41850
26/05/2017,18.48490
29/05/2017,18.51210
30/05/2017,18.66430
31/05/2017,18.69090
01/06/2017,18.59410
02/06/2017,18.62040
05/06/2017,18.38190
06/06/2017,18.27620
07/06/2017,18.22780
08/06/2017,18.19460
09/06/2017,18.19390
12/06/2017,18.18020
13/06/2017,18.07250
14/06/2017,17.93430
15/06/2017,18.11540
16/06/2017,17.93210
19/06/2017,17.95190
20/06/2017,18.11670
21/06/2017,18.15700
22/06/2017,18.12700
23/06/2017,17.99000
26/06/2017,17.87750
27/06/2017,17.98620
28/06/2017,17.89730
29/06/2017,18.02790
30/06/2017,18.06260
03/07/2017,18.20640
04/07/2017,18.20360
05/07/2017,18.35560
06/07/2017,18.32270
07/07/2017,18.13940
10/07/2017,17.97510
11/07/2017,17.94820
12/07/2017,17.77080
13/07/2017,17.74220
14/07/2017,17.56130
17/07/2017,17.58360
18/07/2017,17.51340
19/07/2017,17.49370
20/07/2017,17.52600
21/07/2017,17.56180
24/07/2017,17.68930
25/07/2017,17.74920
26/07/2017,17.75610
27/07/2017,17.68860
28/07/2017,17.74350
31/07/2017,17.86460
01/08/2017,17.81080
02/08/2017,17.86960
03/08/2017,17.87330
04/08/2017,17.87980
07/08/2017,17.96410
08/08/2017,17.91600
09/08/2017,17.96710
10/08/2017,17.90730
11/08/2017,17.84700
14/08/2017,17.77550
15/08/2017,17.84830
16/08/2017,17.71600
17/08/2017,17.73240
18/08/2017,17.85840
21/08/2017,17.65010
22/08/2017,17.64580
23/08/2017,17.71130
24/08/2017,17.69770
25/08/2017,17.62050
28/08/2017,17.80490
29/08/2017,17.87600
30/08/2017,17.77530
31/08/2017,17.81450
01/09/2017,17.78610

